"x","y"
5e-13,-4.9729e-12
1e-12,2.38846e-12
1.5e-12,1.67437e-12
2e-12,2.62967e-12
2.5e-12,3.24057e-12
3e-12,3.92352e-12
3.5e-12,4.59161e-12
4e-12,5.26285e-12
4.5e-12,5.93347e-12
5e-12,6.60416e-12
5.5e-12,7.27479e-12
6e-12,7.94539e-12
6.5e-12,8.61598e-12
7e-12,9.28651e-12
7.5e-12,9.95702e-12
8e-12,1.06275e-11
8.5e-12,1.1298e-11
9e-12,1.19684e-11
9.5e-12,1.26388e-11
1e-11,1.33092e-11
1.05e-11,1.39795e-11
1.1e-11,1.46498e-11
1.15e-11,1.53201e-11
1.2e-11,1.59905e-11
1.25e-11,1.66607e-11
1.3e-11,1.7331e-11
1.35e-11,1.80012e-11
1.4e-11,1.86715e-11
1.45e-11,1.93417e-11
1.5e-11,2.00119e-11
1.55e-11,2.06821e-11
1.6e-11,2.13522e-11
1.65e-11,2.20224e-11
1.7e-11,2.26926e-11
1.75e-11,2.33627e-11
1.8e-11,2.40328e-11
1.85e-11,2.4703e-11
1.9e-11,2.53731e-11
1.95e-11,2.60432e-11
2e-11,2.67133e-11
2.05e-11,2.73834e-11
2.1e-11,2.80535e-11
2.15e-11,2.87235e-11
2.2e-11,2.93936e-11
2.25e-11,3.00637e-11
2.3e-11,3.07337e-11
2.35e-11,3.14038e-11
2.4e-11,3.20738e-11
2.45e-11,3.27439e-11
2.5e-11,3.34139e-11
2.55e-11,3.4084e-11
2.6e-11,3.4754e-11
2.65e-11,3.5424e-11
2.7e-11,3.6094e-11
2.75e-11,3.6764e-11
2.8e-11,3.7434e-11
2.85e-11,3.81041e-11
2.9e-11,3.87741e-11
2.95e-11,3.94441e-11
3e-11,4.01141e-11
3.05e-11,4.0784e-11
3.1e-11,4.1454e-11
3.15e-11,4.2124e-11
3.2e-11,4.2794e-11
3.25e-11,4.3464e-11
3.3e-11,4.4134e-11
3.35e-11,4.48039e-11
3.4e-11,4.54739e-11
3.45e-11,4.61439e-11
3.5e-11,4.68138e-11
3.55e-11,4.74838e-11
3.6e-11,4.81538e-11
3.65e-11,4.88237e-11
3.7e-11,4.94937e-11
3.75e-11,5.01637e-11
3.8e-11,5.08336e-11
3.85e-11,5.15036e-11
3.9e-11,5.21735e-11
3.95e-11,5.28435e-11
4e-11,5.35135e-11
4.05e-11,5.41834e-11
4.1e-11,5.48534e-11
4.15e-11,5.55233e-11
4.2e-11,5.61933e-11
4.25e-11,5.68632e-11
4.3e-11,5.75332e-11
4.35e-11,5.82031e-11
4.4e-11,5.88731e-11
4.45e-11,5.9543e-11
4.5e-11,6.0213e-11
4.55e-11,6.08829e-11
4.6e-11,6.15529e-11
4.65e-11,6.22228e-11
4.7e-11,6.28928e-11
