ntype TotalCurrent(trans_5d1_hetero_des) X,ntype TotalCurrent(trans_5d1_hetero_des) Y
1e-14,1.44353e-05
2.3e-14,1.44353e-05
3.99e-14,1.44353e-05
6.187e-14,1.44353e-05
9.0431e-14,1.44352e-05
1.2756e-13,1.44352e-05
1.75828e-13,1.4435e-05
2.38577e-13,1.44347e-05
3.2015e-13,1.44343e-05
4.2015e-13,1.44336e-05
5.2015e-13,1.44329e-05
6.2015e-13,1.44321e-05
7.2015e-13,1.44315e-05
8.2015e-13,1.44308e-05
9.2015e-13,1.44303e-05
1.02015e-12,1.44298e-05
1.12015e-12,1.44293e-05
1.22015e-12,1.44289e-05
1.32015e-12,1.44285e-05
1.42015e-12,1.44282e-05
1.52015e-12,1.44279e-05
1.62015e-12,1.44277e-05
1.72015e-12,1.44274e-05
1.82015e-12,1.44272e-05
1.92015e-12,1.4427e-05
2.02015e-12,1.44269e-05
2.12015e-12,1.44267e-05
2.22015e-12,1.44265e-05
2.32015e-12,1.44264e-05
2.42015e-12,1.44262e-05
2.52015e-12,1.44261e-05
2.62015e-12,1.44259e-05
2.72015e-12,1.44258e-05
2.82015e-12,1.44257e-05
2.92015e-12,1.44256e-05
3.02015e-12,1.44254e-05
3.12015e-12,1.44253e-05
3.22015e-12,1.44252e-05
3.32015e-12,1.44251e-05
3.42015e-12,1.4425e-05
3.52015e-12,1.44248e-05
3.62015e-12,1.44247e-05
3.72015e-12,1.44246e-05
3.82015e-12,1.44245e-05
3.92015e-12,1.44244e-05
4.02015e-12,1.44243e-05
4.12015e-12,1.44241e-05
4.22015e-12,1.4424e-05
4.32015e-12,1.44239e-05
4.42015e-12,1.44238e-05
4.52015e-12,1.44237e-05
4.62015e-12,1.44236e-05
4.72015e-12,1.44234e-05
4.82015e-12,1.44233e-05
4.92015e-12,1.44232e-05
5.02015e-12,1.44231e-05
5.12015e-12,1.4423e-05
5.22015e-12,1.44229e-05
5.32015e-12,1.44227e-05
5.42015e-12,1.44226e-05
5.52015e-12,1.44225e-05
5.62015e-12,1.44224e-05
5.72015e-12,1.44223e-05
5.82015e-12,1.44221e-05
5.92015e-12,1.4422e-05
6.02015e-12,1.44219e-05
6.12015e-12,1.44218e-05
6.22015e-12,1.44217e-05
6.32015e-12,1.44215e-05
6.42015e-12,1.44214e-05
6.52015e-12,1.44213e-05
6.62015e-12,1.44212e-05
6.72015e-12,1.4421e-05
6.82015e-12,1.44209e-05
6.92015e-12,1.44208e-05
7.02015e-12,1.44207e-05
7.12015e-12,1.44205e-05
7.22015e-12,1.44204e-05
7.32015e-12,1.44203e-05
7.42015e-12,1.44202e-05
7.52015e-12,1.442e-05
7.62015e-12,1.44199e-05
7.72015e-12,1.44198e-05
7.82015e-12,1.44196e-05
7.92015e-12,1.44195e-05
8.02015e-12,1.44194e-05
8.12015e-12,1.44193e-05
8.22015e-12,1.44191e-05
8.32015e-12,1.4419e-05
8.42015e-12,1.44189e-05
8.52015e-12,1.44187e-05
8.62015e-12,1.44186e-05
8.72015e-12,1.44185e-05
8.82015e-12,1.44183e-05
8.92015e-12,1.44182e-05
9.02015e-12,1.44181e-05
9.12015e-12,1.44179e-05
9.22015e-12,1.44178e-05
9.32015e-12,1.44177e-05
9.42015e-12,1.44175e-05
9.52015e-12,1.44174e-05
9.62015e-12,1.44173e-05
9.72015e-12,1.44171e-05
9.82015e-12,1.4417e-05
9.92015e-12,1.44169e-05
1.00201e-11,1.44167e-05
1.01201e-11,1.44166e-05
1.02201e-11,1.44165e-05
1.03201e-11,1.44163e-05
1.04201e-11,1.44162e-05
1.05201e-11,1.4416e-05
1.06201e-11,1.44159e-05
1.07201e-11,1.44158e-05
1.08201e-11,1.44156e-05
1.09201e-11,1.44155e-05
1.10201e-11,1.44154e-05
1.11201e-11,1.44152e-05
1.12201e-11,1.44151e-05
1.13201e-11,1.44149e-05
1.14201e-11,1.44148e-05
1.15201e-11,1.44147e-05
1.16201e-11,1.44145e-05
1.17201e-11,1.44144e-05
1.18201e-11,1.44143e-05
1.19201e-11,1.44141e-05
1.20201e-11,1.4414e-05
1.21201e-11,1.44138e-05
1.22201e-11,1.44137e-05
1.23201e-11,1.44136e-05
1.24201e-11,1.44134e-05
1.25201e-11,1.44133e-05
1.26201e-11,1.44131e-05
1.27201e-11,1.4413e-05
1.28201e-11,1.44129e-05
1.29201e-11,1.44127e-05
1.30201e-11,1.44126e-05
1.31201e-11,1.44124e-05
1.32201e-11,1.44123e-05
1.33201e-11,1.44122e-05
1.34201e-11,1.4412e-05
1.35201e-11,1.44119e-05
1.36201e-11,1.44117e-05
1.37201e-11,1.44116e-05
1.38201e-11,1.44115e-05
1.39201e-11,1.44113e-05
1.40201e-11,1.44112e-05
1.41201e-11,1.44111e-05
1.42201e-11,1.44109e-05
1.43201e-11,1.44108e-05
1.44201e-11,1.44106e-05
1.45201e-11,1.44105e-05
1.46201e-11,1.44104e-05
1.47201e-11,1.44102e-05
1.48201e-11,1.44101e-05
1.49201e-11,1.44099e-05
1.50201e-11,1.44098e-05
1.51201e-11,1.44097e-05
1.52201e-11,1.44095e-05
1.53201e-11,1.44094e-05
1.54201e-11,1.44093e-05
1.55201e-11,1.44091e-05
1.56201e-11,1.4409e-05
1.57201e-11,1.44088e-05
1.58201e-11,1.44087e-05
1.59201e-11,1.44086e-05
1.60201e-11,1.44084e-05
1.61201e-11,1.44083e-05
1.62201e-11,1.44082e-05
1.63201e-11,1.4408e-05
1.64201e-11,1.44079e-05
1.65201e-11,1.44077e-05
1.66201e-11,1.44076e-05
1.67201e-11,1.44075e-05
1.68201e-11,1.44073e-05
1.69201e-11,1.44072e-05
1.70201e-11,1.44071e-05
1.71201e-11,1.44069e-05
1.72201e-11,1.44068e-05
1.73201e-11,1.44066e-05
1.74201e-11,1.44065e-05
1.75201e-11,1.44064e-05
1.76201e-11,1.44062e-05
1.77201e-11,1.44061e-05
1.78201e-11,1.4406e-05
1.79201e-11,1.44058e-05
1.80201e-11,1.44057e-05
1.81201e-11,1.44056e-05
1.82201e-11,1.44054e-05
1.83201e-11,1.44053e-05
1.84201e-11,1.44051e-05
1.85201e-11,1.4405e-05
1.86201e-11,1.44049e-05
1.87201e-11,1.44047e-05
1.88201e-11,1.44046e-05
1.89201e-11,1.44045e-05
1.90201e-11,1.44043e-05
1.91201e-11,1.44042e-05
1.92201e-11,1.44041e-05
1.93201e-11,1.44039e-05
1.94201e-11,1.44038e-05
1.95201e-11,1.44037e-05
1.96201e-11,1.44035e-05
1.97201e-11,1.44034e-05
1.98201e-11,1.44032e-05
1.99201e-11,1.44031e-05
2.00201e-11,1.4403e-05
2.01201e-11,1.44028e-05
2.02201e-11,1.44027e-05
2.03201e-11,1.44026e-05
2.04201e-11,1.44024e-05
2.05201e-11,1.44023e-05
2.06201e-11,1.44022e-05
2.07201e-11,1.4402e-05
2.08201e-11,1.44019e-05
2.09201e-11,1.44018e-05
2.10201e-11,1.44016e-05
2.11201e-11,1.44015e-05
2.12201e-11,1.44014e-05
2.13201e-11,1.44012e-05
2.14201e-11,1.44011e-05
2.15201e-11,1.44009e-05
2.16201e-11,1.44008e-05
2.17201e-11,1.44007e-05
2.18201e-11,1.44005e-05
2.19201e-11,1.44004e-05
2.20201e-11,1.44003e-05
2.21201e-11,1.44001e-05
2.22201e-11,1.44e-05
2.23201e-11,1.43999e-05
2.24201e-11,1.43997e-05
2.25201e-11,1.43996e-05
2.26201e-11,1.43995e-05
2.27201e-11,1.43993e-05
2.28201e-11,1.43992e-05
2.29201e-11,1.43991e-05
2.30201e-11,1.43989e-05
2.31201e-11,1.43988e-05
2.32201e-11,1.43986e-05
2.33201e-11,1.43985e-05
2.34201e-11,1.43984e-05
2.35201e-11,1.43982e-05
2.36201e-11,1.43981e-05
2.37201e-11,1.4398e-05
2.38201e-11,1.43978e-05
2.39201e-11,1.43977e-05
2.40201e-11,1.43976e-05
2.41201e-11,1.43974e-05
2.42201e-11,1.43973e-05
2.43201e-11,1.43972e-05
2.44201e-11,1.4397e-05
2.45201e-11,1.43969e-05
2.46201e-11,1.43967e-05
2.47201e-11,1.43966e-05
2.48201e-11,1.43965e-05
2.49201e-11,1.43963e-05
2.50201e-11,1.43962e-05
2.51201e-11,1.43961e-05
2.52201e-11,1.43959e-05
2.53201e-11,1.43958e-05
2.54201e-11,1.43957e-05
2.55201e-11,1.43955e-05
2.56201e-11,1.43954e-05
2.57201e-11,1.43952e-05
2.58201e-11,1.43951e-05
2.59201e-11,1.4395e-05
2.60201e-11,1.43948e-05
2.61201e-11,1.43947e-05
2.62201e-11,1.43946e-05
2.63201e-11,1.43944e-05
2.64201e-11,1.43943e-05
2.65201e-11,1.43941e-05
2.66201e-11,1.4394e-05
2.67201e-11,1.43939e-05
2.68201e-11,1.43937e-05
2.69201e-11,1.43936e-05
2.70201e-11,1.43934e-05
2.71201e-11,1.43933e-05
2.72201e-11,1.43932e-05
2.73201e-11,1.4393e-05
2.74201e-11,1.43929e-05
2.75201e-11,1.43928e-05
2.76201e-11,1.43926e-05
2.77201e-11,1.43925e-05
2.78201e-11,1.43923e-05
2.79201e-11,1.43922e-05
2.80201e-11,1.43921e-05
2.81201e-11,1.43919e-05
2.82201e-11,1.43918e-05
2.83201e-11,1.43916e-05
2.84201e-11,1.43915e-05
2.85201e-11,1.43914e-05
2.86201e-11,1.43912e-05
2.87201e-11,1.43911e-05
2.88201e-11,1.43909e-05
2.89201e-11,1.43908e-05
2.90201e-11,1.43907e-05
2.91201e-11,1.43905e-05
2.92201e-11,1.43904e-05
2.93201e-11,1.43902e-05
2.94201e-11,1.43901e-05
2.95201e-11,1.43899e-05
2.96201e-11,1.43898e-05
2.97201e-11,1.43897e-05
2.98201e-11,1.43895e-05
2.99201e-11,1.43894e-05
3.00201e-11,1.43892e-05
3.01201e-11,1.43891e-05
3.02201e-11,1.4389e-05
3.03201e-11,1.43888e-05
3.04201e-11,1.43887e-05
3.05201e-11,1.43885e-05
3.06201e-11,1.43884e-05
